sample,modality,degradation,method,PSNR_dB,SSIM_global,MAE_8bit,RMS_contrast
31,optical,moderate,nlm_only_conservative,18.246076736081232,0.8627377593597461,24.459700520833334,42.18026065097739
31,optical,moderate,bilateral_only_conservative,18.305524566091655,0.8636212101963814,24.30376736111111,42.073875086600836
31,optical,moderate,gaussian_clahe,16.718720000355546,0.8363490315446013,29.581276041666666,49.8562054583878
31,optical,moderate,median_clahe,16.81848163836332,0.8405095564301515,29.195186631944445,49.869547660079455
31,optical,moderate,bilateral_clahe,17.063140587137042,0.847985639187687,28.336254340277776,50.038497737210434
31,optical,moderate,nlm_clahe,17.555422235698337,0.866103991672472,26.708624131944443,50.10998227453264
31,optical,moderate,nlm_clahe_unsharp,17.56018871259827,0.8672997884394549,26.572274305555556,50.63333558797088
31,optical,moderate,auto_mask_telea_inpaint,17.863671298358252,0.8525254033786145,26.291184895833332,44.61942575551512
31,optical,severe,degraded_input,15.258831350471239,0.6724998121688238,36.40154079861111,29.498663354483796
31,optical,severe,nlm_only_conservative,15.254468290248646,0.6696134602772658,36.40819444444445,28.66784778816954
31,optical,severe,bilateral_only_conservative,15.279379711893888,0.6719997282966904,36.29892795138889,28.897183533560533
31,optical,severe,gaussian_clahe,14.917782117568928,0.7027116778370365,37.39736979166667,38.84077516926129
31,optical,severe,median_clahe,14.866916665161419,0.6993538943439983,37.727009548611115,38.64920065468453
31,optical,severe,bilateral_clahe,15.032714049568911,0.7078950665871525,37.136067708333336,38.4414098803769
31,optical,severe,nlm_clahe,15.388061299978386,0.7322579065652175,35.70487413194444,37.40914012170989
31,optical,severe,nlm_clahe_unsharp,15.392651196381808,0.7334005147838174,35.63162326388889,37.64342492512226
31,optical,severe,auto_mask_telea_inpaint,15.270486325791556,0.6865219917078345,36.964214409722224,32.22421468483667
31,optical,motion,degraded_input,17.292580052256113,0.8199639108386751,27.08867621527778,41.20134951191757
31,optical,motion,nlm_only_conservative,17.259442336306144,0.8188805433081646,27.211870659722223,40.932096420865825
31,optical,motion,bilateral_only_conservative,17.286786496733672,0.8188319289143895,27.111905381944446,40.858300866465974
31,optical,motion,gaussian_clahe,15.957956122128794,0.7929897624226437,31.333194444444445,48.18435651009891
31,optical,motion,median_clahe,15.86249280311247,0.7868879502719597,31.679032118055556,47.87970046108602
31,optical,motion,bilateral_clahe,16.174800998491115,0.8018016037648096,30.706796875,48.13500904770396
31,optical,motion,nlm_clahe,16.59674436665829,0.8234721802727916,28.76127170138889,48.53061071691665
31,optical,motion,nlm_clahe_unsharp,16.576578888537,0.8234492271166564,28.71383246527778,48.892661450432385
31,optical,motion,auto_mask_telea_inpaint,17.470292118601392,0.834548557449293,27.632769097222223,43.58085356889044
31,thermal,moderate,degraded_input,18.972163387723832,0.8901059888364085,24.802903645833332,46.07740926144014
31,thermal,moderate,nlm_only_conservative,19.079615137680513,0.8923775303156573,24.723385416666666,45.661862038089986
31,thermal,moderate,bilateral_only_conservative,18.932427269534962,0.8877475938811633,25.27671875,45.15216098658202
31,thermal,moderate,gaussian_clahe,16.651964737993932,0.855092408637777,32.47415364583333,52.46027500997052
31,thermal,moderate,median_clahe,16.672958816656333,0.8544864715966857,32.60557291666667,51.8069596453747
31,thermal,moderate,bilateral_clahe,17.313369750895184,0.8747000168187496,30.01662760416667,53.28026685850751
31,thermal,moderate,nlm_clahe,18.415805075283025,0.9020641730789359,26.283059895833333,54.52313142584755
31,thermal,moderate,nlm_clahe_unsharp,18.411177644126635,0.9024094680345813,26.150533854166667,54.961379415421554
31,thermal,moderate,auto_mask_telea_inpaint,18.4642871716379,0.87245360650386,26.183307291666665,46.253938511034114
31,thermal,severe,degraded_input,15.487294328007108,0.71550924922914,37.876536458333334,33.1957419143975
